Compagnie;Cotation
3D SYSTEMS CORP.;29.34
3M COMPANY;194.79
8X8 INC;24.10
A.O. SMITH CORP.;71.69
A10 NETWORKS INC.;13.65
AAR CORP.;33.39
AARONS HOLDINGS CO.;27.18
ABB LTD;37.35
ABBOTT LABORATORIES;125.01
ABBVIE INC.;120.36
ABERCROMBIE & FITCH CO.;34.50
ABERDEEN GLOB. DYNAMIC DIVIDEND FUND;12.32
ABERDEEN GLOB. PREMIER PROPERTIES FUND;6.48
ABERDEEN INC. CREDIT STRATEGIES FUND;11.29
ABERDEEN STANDARD GLOB. INFRA. INC. FUN;20.97
ABERDEEN TOTAL DYNAMIC DIVIDEND FUND;10.32
ABM INDUSTRIES INC.;50.09
ACADIA REALTY TRUST;20.94
ACCEL ENTERTAINMENT INC.;11.73
ACCENTURE PLC CLASS A;333.32
ACCO BRANDS CORP.;8.85
ACRES COMMERCIAL REALTY;16.22
ACUITY BRANDS INC.;186.33
ACUSHNET HOLDINGS;51.46
ADAMS DIV. EQUITY FUND;20.51
ADC THERAPEUTICS SA;27.70
ADECOAGRO S.A.;9.23
ADIENT PLC;40.03
ADT INC.;8.43
ADTALEM GLOBAL EDUCATION INC.;37.13
ADVANCE AUTO PARTS INC ADVANCE AUTO PAR;209.55
ADVANCED DRAINAGE SYSTEMS INC.;118.22
ADVANCED MERGER PARTNERS;9.63
ADVANSIX INC.;34.56
ADVENT CONVERTIBLE AND INC. FUND;19.00
AEA-BRIDGES IMPACT;9.74
AECOM;65.98
AEGON FUNDING CO.;27.15
AEGON N.V.;4.94
AEGON N.V. PERP. CAP. SECS. FLOATING RA;25.20
AENZA S.A.A. ADS;1.37
AERCAP HOLDINGS N.V.;54.35
AEROJET ROCKETDYNE HLD.;41.61
AEVA TECHNOLOGIES INC.;9.73
AFFILIATED MANAGERS GROUP;27.56
AFFILIATED MANAGERS GROUP;26.40
AFFILIATED MANAGERS GROUP;25.12
AFFILIATED MANAGERS GROUP INC.;168.63
AFLAC INC.;56.68
AG MORTGAGE INVESTMENT TRUST;10.57
AGCO CORP.;138.87
AGILENT TECHNOLOGIES INC.;172.37
AGILITI INC.;19.68
AGILON HEALTH INC.;35.72
AGNICO EAGLE MINES;57.31
AGREE REALTY CORP.;73.29
AIHUISHOU INTERNATIONAL CO.;9.24
AIR LEASE CORP.;40.49
AIR PRODUCTS AND CHEMICALS;269.58
ALABAMA POWER CO.;26.32
ALAMO GROUP INC.;150.95
ALAMOS GOLD INC. CLASS A;7.77
ALASKA AIR GROUP INC.;57.25
ALBANY INTERNATIONAL;78.27
ALBEMARLE CORP.;232.19
ALBERTSONS COMPANIES;27.92
ALCOA CORP.;41.72
ALCON INC.;81.18
ALDEL FINANCIAL INC. CLASS A;10.01
ALEXANDER & BALDWIN INC.;20.31
ALEXANDER S INC.;262.52
ALEXANDRIA REAL ESTATE EQUITIES;203.73
ALGONQUIN POWER & UTILITIES;51.27
ALGONQUIN POWER & UTILITIES;27.65
ALGONQUIN POWER & UTILITIES;15.63
ALGONQUIN POWER & UTILITIES;28.02
ALIBABA GROUP HOLDING;165.59
ALIGHT INC. CLASS A;10.58
ALLEGHANY CORP.;679.87
ALLEGHENY TECHNOLOGIES INC.;17.65
ALLEGION PLC;140.88
ALLETE INC.;68.10
ALLIANCE DATA SYSTEMS;94.84
ALLIANCEBERNSTEIN GLOB. HIGH INC. FUND;12.32
ALLIANCEBERNSTEIN HOLDING L.P.  UNITS;50.81
ALLIANCEBERNSTEIN NATIONAL MUNI. INC. F;15.11
ALLISON TRANSMISSION HLD.;37.45
ALLSTATE CORP.;137.59
ALLY FINANCIAL INC.;52.31
ALPHA METALLURGICAL RESOURCES;37.99
ALPINE INC. PROPERTY TRUST;18.39
ALTA EQUIPMENT GROUP;13.77
ALTERYX INC. CLASS A;72.90
ALTICE USA INC. CLASS A;27.99
ALTIMETER GROWTH;9.83
ALTRIA GROUP INC.;48.68
ALUMINUM CORP.;16.28
AMBAC FINANCIAL GROUP INC.;13.88
AMBEV S.A. ADS EACH;3.22
AMBRX BIOPHARMA INC. ADS EACH;18.20
AMC ENTERTAINMENT HLD.;41.84
AMCOR PLC;12.77
AMEREN CORP.;87.31
AMERESCO INC. CLASS A;68.09
AMERICA MOVIL S.A.B. DE C.V. ADR SERIES;18.49
AMERICA MOVIL S.A.B. DE C.V. CLASS A AD;18.37
AMERICAN ASSETS TRUST INC.;38.19
AMERICAN AXLE & MANUFACTURING HLD.;8.64
AMERICAN CAMPUS COMMUNITIES INC;49.42
AMERICAN EAGLE OUTFITTERS INC.;30.11
AMERICAN EQUITY INVESTMENT LIFE HOLDING;32.10
AMERICAN EXPRESS CO.;164.65
AMERICAN FIN. GROUP;27.83
AMERICAN FIN. GROUP;28.38
AMERICAN FIN. GROUP;27.67
AMERICAN FIN. GROUP;27.48
AMERICAN FINANCIAL GROUP INC.;136.51
AMERICAN HOMES 4 RENT;40.41
AMERICAN INTL. GROUP;54.31
AMERICAN REALTY INVESTORS INC.;11.10
AMERICAN STATES WATER CO.;89.56
AMERICAN TOWER CORP.;283.83
AMERICAN VANGUARD;15.37
AMERICAN WATER WORKS CO.;180.53
AMERICAN WELL CORP.;10.22
AMERICOLD REALTY TRUST;36.36
AMERIPRISE FINANCIAL INC.;270.73
AMERISOURCEBERGEN;116.63
AMETEK INC.;136.14
AMN HEALTHCARE SERVICES INC AMN HEALTHC;108.71
AMNEAL PHARMACEUTICALS;5.11
AMPCO-PITTSBURGH;4.94
AMPHENOL CORP.;75.53
AMPLIFY ENERGY CORP.;3.70
AMREP CORP.;13.45
AMTD INTERNATIONAL INC. ADS;5.72
ANAPLAN INC.;60.23
ANGEL OAK DYNAMIC FIN. STRATEGIES INC.;20.67
